title,link,pubDate,author,id,isoDate
Silly Squad Memory Game,https://www.youtube.com/watch?v=PkwyYIKr3as,2020-06-30T16:07:17.000Z,Barnet Council,yt:video:PkwyYIKr3as,2020-06-30T16:07:17.000Z
Silly Squad Code Breaker,https://www.youtube.com/watch?v=blFj6tr7eYs,2020-07-02T07:35:20.000Z,Barnet Council,yt:video:blFj6tr7eYs,2020-07-02T07:35:20.000Z
Silly Squad Odd one out,https://www.youtube.com/watch?v=nHkc42hBxlQ,2020-07-02T07:22:59.000Z,Barnet Council,yt:video:nHkc42hBxlQ,2020-07-02T07:22:59.000Z
Barnet Libraries Book Quiz -  Round 6  Children's Literature,https://www.youtube.com/watch?v=7RI02Al2luU,2020-07-02T06:59:55.000Z,Barnet Council,yt:video:7RI02Al2luU,2020-07-02T06:59:55.000Z
Silly Squad Snap!,https://www.youtube.com/watch?v=YtaU3tgJe5g,2020-07-01T14:38:39.000Z,Barnet Council,yt:video:YtaU3tgJe5g,2020-07-01T14:38:39.000Z
Owl puppet craft activity,https://www.youtube.com/watch?v=PTKcv0ccLfY,2020-06-15T13:57:39.000Z,Barnet Council,yt:video:PTKcv0ccLfY,2020-06-15T13:57:39.000Z
All Time Favourite Rhymes with Jayne,https://www.youtube.com/watch?v=kPTZKphtYWk,2020-06-26T09:00:10.000Z,Barnet Council,yt:video:kPTZKphtYWk,2020-06-26T09:00:10.000Z
